frame,track_id,class_id,confidence,xmin,ymin,xmax,ymax
129,1.0,3,0.6768,675.73,426.89,835.18,767.10
129,2.0,4,0.4803,1831.76,142.44,1919.93,1058.65
129,3.0,4,0.2112,1614.62,500.95,1920.00,1077.70
130,1.0,3,0.7370,677.43,426.06,837.71,767.25
130,2.0,4,0.4734,1831.75,141.55,1920.00,1060.16
130,3.0,4,0.2052,1614.81,502.07,1920.00,1077.74
131,1.0,3,0.7569,678.35,425.72,839.28,767.50
131,2.0,4,0.4746,1831.76,141.00,1920.00,1060.58
131,3.0,4,0.1953,1614.86,502.29,1920.00,1077.74
132,1.0,3,0.7537,678.65,426.38,839.55,767.09
132,2.0,4,0.4759,1831.75,140.49,1920.00,1060.48
132,3.0,4,0.1922,1614.94,502.32,1920.00,1077.75
132,16.0,0,0.5217,970.11,2.07,1020.76,45.00
133,1.0,3,0.6934,677.89,425.99,839.06,767.29
133,2.0,4,0.4664,1831.77,140.28,1920.00,1060.39
133,3.0,4,0.1939,1615.27,502.97,1920.00,1077.69
134,1.0,3,0.7076,677.05,425.76,838.31,767.44
134,2.0,4,0.4701,1832.06,143.46,1920.00,1059.96
134,3.0,4,0.1863,1615.23,502.76,1920.00,1077.71
135,1.0,3,0.7115,676.88,425.87,838.18,767.62
135,2.0,4,0.4677,1832.04,143.83,1919.99,1060.26
135,3.0,4,0.1962,1615.23,502.39,1920.00,1077.66
136,1.0,3,0.7199,675.95,425.88,836.99,767.57
136,2.0,4,0.4678,1831.93,144.06,1919.88,1060.24
136,3.0,4,0.1810,1615.22,502.32,1920.00,1077.60
137,1.0,3,0.7088,674.75,426.38,835.66,768.20
137,2.0,4,0.4724,1831.91,145.32,1919.78,1060.42
137,3.0,4,0.1858,1615.29,502.58,1920.00,1077.64
138,1.0,3,0.7735,674.53,426.83,835.50,768.74
138,2.0,4,0.4745,1831.77,144.77,1919.73,1060.35
138,3.0,4,0.1792,1615.28,501.61,1920.00,1077.64
139,1.0,3,0.7077,673.17,426.85,833.98,768.54
139,2.0,4,0.4775,1831.57,144.03,1919.65,1060.26
139,3.0,4,0.1721,1615.21,500.30,1920.00,1077.58
140,1.0,3,0.7413,670.86,427.54,831.22,768.67
140,2.0,4,0.4688,1831.37,141.67,1919.79,1061.37
140,3.0,4,0.1638,1615.28,500.57,1920.00,1077.63
141,1.0,3,0.7407,670.15,429.82,829.25,768.01
141,2.0,4,0.4747,1831.51,143.18,1919.73,1060.55
141,3.0,4,0.1738,1615.47,501.20,1920.00,1077.67
142,1.0,3,0.8331,669.67,430.27,829.06,768.73
142,2.0,4,0.4633,1831.49,141.23,1919.88,1060.45
142,3.0,4,0.1697,1615.53,501.40,1920.00,1077.65
143,1.0,3,0.8563,669.02,434.29,826.17,767.50
143,2.0,4,0.4563,1831.49,141.30,1919.98,1061.89
143,3.0,4,0.1677,1615.49,500.49,1920.00,1077.67
